title,rating,runtime,imdb_rating,tmdb_rating,meta_score,genre_1,genre_2,genre_3,description,director,stars,votes,gross
A Heavenly Christmas,TV-G,93,6.4,6.7,NA,Drama,Fantasy,Romance,"Upon her untimely death, a workaholic who never put much value into the joys of Christmas finds herself recruited to be a Christmas Angel -- and is assigned a hard luck case that she accidentally falls in love with.",Paul Shapiro,"Kristin Davis, Eric McCormack, Shirley MacLaine, Jaeda Lily Miller,",2065,NA
The Santa Suit,TV-G,89,6.5,2.6,NA,Adventure,Comedy,Family,"Hunter Toys CEO Drake Hunter turned his father's company from a cozy quality manufacturer into a ruthless, profitable business. After denying his staff any further festive generosity, the ...                See full summary »",Robert Vaughn,"Kevin Sorbo, Jodie Dowdall, Derry Robinson, Rosemary Dunsmore,",1100,NA
The Spruces and the Pines,Unrated,86,6,8.5,NA,Comedy,Drama,Family,Julie (Jonna Walsh) and Rick (Nick Ballard) fall in love despite being on opposite sides of feuding Christmas-tree-farm families.,John Stimpson,"Jonna Walsh, Nick Ballard, Tom Kemp, Ken Cheeseman,",1085,NA
A Christmas Memory,NA,96,7,7.8,NA,Drama,Family,NA,"Seven year old Buddy experiences the best of country life, friendship, and the joy of giving during the Christmas season. Based on the story by Truman Capote.",Glenn Jordan,"Patty Duke, Piper Laurie, Jeffrey DeMunn, Anita Gillette,",800,NA
Christmas Everlasting,TV-PG,85,6.3,8.8,NA,Drama,Romance,NA,A hotshot lawyer returns to her childhood home following a death in the family.,Ron Oliver,"Tatyana Ali, Dondré T. Whitfield, Dennis Haysbert, Patti LaBelle,",1126,NA
Cloudy with a Chance of Christmas,NA,90,5.5,7,NA,Comedy,Romance,NA,"When a weather forecaster is asked to host her network's annual snow-cast in the wintry town of Leavenworth live with the network's morning show host and a longtime rival of hers, tension brews and romantic sparks fly between them on air.",Jake Helgren,"Valery M. Ortiz, Brandon Quinn, Sarah Jane Morris, Nicole Bilderback,",374,NA
Santa Baby,PG,89,5.5,6.1,NA,Animation,Comedy,Fantasy,"Mary Class is a highly successful business executive - who just happens to be the daughter of Santa Claus. But when her father falls ill, Mary returns to the North Pole and the life she ...                See full summary »",Ron Underwood,"Jenny McCarthy-Wahlberg, Ivan Sergei, George Wendt, Kandyse McClure,",1821,NA
Christmas at Graceland,TV-G,85,5.7,4.6,NA,Comedy,Drama,Family,"A Chicago-based business executive travels to Memphis to secure one of the city's oldest family-owned banks. While in Memphis she reunites with an old flame, Clay, a local music promoter with loftier aspirations.",Eric Close,"Kellie Pickler, Wes Brown, Claire Elizabeth Green, Rhoda Griffis,",1700,NA
Christmas with the Darlings,TV-G,84,7.1,8.7,NA,Comedy,Family,Romance,A woman helps a charming man look after his orphaned nieces and nephew during the holidays.,Catherine Cyran,"Katrina Law, Carlo Marks, Steve Bacic, Islie Hirvonen,",1703,NA
Christmas with a Prince: Becoming Royal,TV-G,93,5.8,8.1,NA,Romance,NA,NA,Its Christmas again and Dr Tasha is on her way to meet Prince Alexander in St. Savarre. Though this is a happy time it is also a very stressful as a treaty is being negotiated between St. ...                See full summary »,Justin G. Dyck,"Kaitlyn Leeb, Nick Hounslow, Josh Dean, Stasia Caz,",679,NA
A Golden Christmas,TV-PG,95,5.5,1.7,NA,Comedy,Drama,Family,"A woman visits her parents for Christmas. Hearing that they've ""sold"" the house, she wants to buy it. At 9 she had a BFF in the woods nearby named Han Solo. She and the buyer are single, divorced and have a child each. Is he her Han?",John Murlowski,"Andrea Roth, Nicholas Brendon, Elisa Donovan, Bruce Davison,",1362,NA
Love You Like Christmas,TV-G,90,6.4,1.5,NA,Drama,Romance,NA,A high-powered marketing executive reconsiders her priorities when car trouble strands her in a small Ohioan town for the Christmas season.,Graeme Campbell,"Bonnie Somerville, Brennan Elliott, Madison Brydges, Precious Chong,",2141,NA
The Enchanted Christmas Cake,NA,84,5.4,4.3,NA,Romance,NA,NA,"Gwen recently lost her grandmother and she is struggling to run their bakery and regain the Christmas spirit, and figure out her grandmother's magical recipe for the town's legendary Enchanted Christmas Cake.",Robert Vaughn,"Erica Durance, Robin Dunne, Kyana Teresa, Paulino Nunes,",657,NA
